,Year,Genre,,Watched,Opinions,Remarks,,,,,,,,Genre
12 Monkeys,1995,"Suspense, Sci-fi",,,,,,,,,,,,Acid
28 Days Later,2002,"Horror, Zombie",,Y,,,,,,,,,,Action
28 Weeks Later,2007,"Horror, Zombie",,,,,,NEXT IN QUEUE:,,,,,,Adventure
30 Days Of Night,2007,Horror,,Y,,,,,,,,,,Comedy
30 Days Of Night: Dark Days,2010,Horror,,,,,,,,,,,,Crime
Genroku Chūshingura,1941,Samurai,,,,,,Midnight Diner,,,,,,Disaster
47 Ronin,2013,"Samurai, Fantasy",,,,,,Samurai Gourmet,,,,,,Documentary
A Tale Of Two Sisters,2003,"Horror, Psychological, Drama",,,,,,Promised Neverland,6/???,,,,,Drama
Alien,1979,"Horror, Sci-fi",,Y,,,,God of High School,,,,,,Dystopian
Aliens,1986,"Horror, Sci-fi",,Y,,,,X Files,,,,,,Family
Alien 3,1992,"Horror, Sci-fi",,,,,,Chernobyl,,,,,,Fantasy
Alien: Resurrection,1997,"Horror, Sci-fi",,,,,,House of the Bly something,,,,,,Food
Prometheus,2012,"Horror, Sci-fi",,,,,,,,,,,,Golden Shit
Alien: Covenant,2017,"Horror, Sci-fi",,,,,,,,,,,,Horror
An American Werewolf In London,1981,"Horror, Comedy, Suspense",,Y,,,,,,,,,,Martial Arts
An American Werewolf In Paris,1997,"Horror, Comedy, Suspense",,,,,,,,,,,,Mindfuck
Anaconda,1997,"Horror, Adventure",,Y,,,,,,,,,,Monster
Anacondas: The Hunt for the Blood Orchid,2004,"Horror, Adventure",,Y,So bad it's good,,,,,,,,,Mystery
Anaconda 3: Offspring,2008,"Horror, Adventure",,Y,So bad it's campy,,,,,,,,,Pandemic
Anacondas: Trail of Blood,2009,"Horror, Adventure",,Y,So bad,,,,,,,,,Psychological
Lake Placid vs. Anaconda,2015,"Horror, Comedy",,Y,,,,,,,,,,Reboot
Arachnophobia,1990,"Horror, Comedy",,,,,,,,,,,,Remake
The Evil Dead,1981,"Supernatural, Horror",,,,,,,,,,,,Samurai
Evil Dead II,1987,"Horror, Comedy",,,,,,,,,,,,Sci-fi
Army Of Darkness,1993,"Horror, Comedy",,,,,,,,,,,,Science
Evil Dead,2013,"Supernatural, Horror",,,,,,,,,,,,Series
Barbarella,1968,"WTF, Acid, Adventure, Sci-Fi",,Y,,,,,,,,,,Splatter
Battle: Los Angeles,2011,"Action, Sci-Fi, Suspense",,,,,,,,,,,,Spy
Black Sheep,2006,"Horror, Comedy",,,,,,,,,,,,Superhero
Blade Of Of The Immortal,2017,Samurai,,,,,,,,,,,,Supernatural
Bladerunner,1982,"Sci-fi, Suspense",,,,,,,,,,,,Supernatural. Horror
Cabin Fever,2016,"Horror, Comedy, Remake",,Y,,**rewatch old one,,,,,,,,Suspense
Cloverfield,2008,"Monster, Disaster",,Y,,,,,,,,,,Thriller
Contagion,2011,"Horror, Pandemic",,Y,,,,,,,,,,Western
Cushingura,,Samurai,,,,,,,,,,,,WTF
Dante's Peak,1997,Disaster,,Y,,,,,,,,,,Zombie
David Lynch: The Art Life,2016,Documentary,,,,,,,,,,,,
Dirty Ho,1979,Martial Arts,,,,,,,,,,,,
Dracula 2000,2000,Horror,,,,,,,,,,,,
El Topo,1970,"Western, Acid",,,,,,,,,,,,
End Of Watch,2012,"Action, Thriller",,,,,,,,,,,,
Executioners From Shaolin,1977,Martial Arts,,,,,,,,,,,,
Frankenhooker,1990,"WTF, Horror, Comedy",,,,,,,,,,,,
Chopper Chicks in Zombietown,1989,"WTF, Horror, Comedy",,,,,,,,,,,,
Ghostbusters,1984,"Sci-Fi, Comedy",,,,,,,,,,,,
Ghostbusters II,1989,"Sci-Fi, Comedy",,,,,,,,,,,,
Ghostbusters,2016,"Sci-Fi, Comedy, Reboot",,,,,,,,,,,,
Gremlins,1984,"Horror, Comedy",,Y,,,,,,,,,,
Hang Em High,1968,Western,,,,,,,,,,,,
Hara-Kiri,1962,Samurai,,,,,,,,,,,,
Hara-Kiri: Death of a Samurai,2011,"Samurai, Drama, Remake",,,,,,,,,,,,
Home Alone,1990,"Family, Comedy",,,,,,,,,,,,
Home Alone 2: Lost in New York,1992,"Family, Comedy",,,,,,,,,,,,
Home Alone 3,1997,"Family, Comedy",,,,,,,,,,,,
Home Alone 4: Taking Back the House,2002,"Family, Comedy",,,,,,,,,,,,
Home Alone: The Holiday Heist,2012,"Family, Comedy",,,,,,,,,,,,
Hotel Artemis,2018,"Dystopian, Thriller",,Y,,,,,,,,,,
How To Train Your Dragon,2010,"Family, Fantasy",,Y,,,,,,,,,,
How To Train Your Dragon 2,2014,"Family, Fantasy",,Y,,,,,,,,,,
How To Train Your Dragon: The Hidden World,2019,"Family, Fantasy",,Y,,,,,,,,,,
I See You,2019,"Horror, Thriller",,,,,,,,,,,,
Indiana Jones: Raiders of the Lost Ark,1981,Adventure,,,,,,,,,,,,
Indiana Jones: The Temple of Doom,1984,Adventure,,,,,,,,,,,,
Indiana Jones: The Last Crusade,1989,Adventure,,,,,,,,,,,,
Indiana Jones: The Kingdom of the Crystal Skull,2008,Adventure,,,,,,,,,,,,
